pollutant,species,split_factor,divisor,mass_fraction
CB05_ALD2,ALD2,1,44.01096667,1
CB05_ALDX,ALDX,1,44.55031667,1
CB05_ETH,ETH,1,28.053,1
CB05_ETHA,ETHA,1,30.069,1
CB05_ETOH,ETOH,1,45.7327,1
CB05_FORM,FORM,1,30.026,1
CB05_IOLE,IOLE,1,55.07433333,1
CB05_ISOP,ISOP,1,68.117,1
CB05_MEOH,MEOH,1,32.042,1
CB05_NVOL,NVOL,1,1.0001,1
CB05_OLE,OLE,1,30.38553333,1
CB05_PAR,PAR,1,17.39844286,1
CB05_TERP,TERP,1,136.2352,1
CB05_TOL,TOL,1,100.8412833,1
CB05_UNR,UNR,1,19.4844,1
CB05_XYL,XYL,1,114.463,1
PM25,PAL,3.62E-04,1,3.62E-04
PM25,PCA,0.001368957,1,0.001368957
PM25,PCL,0.010680138,1,0.010680138
PM25,PEC,0.065668,1,0.065668
PM25,PFE,2.69E-04,1,2.69E-04
PM25,PH2O,1.14E-05,1,1.14E-05
PM25,PK,0.015057031,1,0.015057031
PM25,PMG,1.95E-04,1,1.95E-04
PM25,PMN,9.91E-06,1,9.91E-06
PM25,PMOTHR,0.193813522,1,0.193813522
PM25,PNA,0.002220225,1,0.002220225
PM25,PNCOM,0.316611135,1,0.316611135
PM25,PNH4,0.023362,1,0.023362
PM25,PNO3,0.0049,1,0.0049
PM25,POC,3.21E-01,1,0.32093
PM25,PSI,0.006000482,1,0.006000482
PM25,PSO4,0.0385,1,0.0385
PM25,PTI,4.12E-05,1,4.12E-05
SO2,SO2,1,64,1
SO2,SULF,0.0148,98,0.0148
NH3,NH3,1,17,1
CO,CO,1,28,1
PMC,PMC,1,1,1
NOx,NO,0.9,30,0.9
NOx,NO2,0.092,46,0.092
NOx,HONO,0.008,47,0.008
