pollutant,species,split_factor,divisor,mass_fraction,
CB05_ALD2,ALD2,1,44.01096667,1,
CB05_ALDX,ALDX,1,44.55031667,1,
CB05_ETH,ETH,1,28.053,1,
CB05_ETHA,ETHA,1,30.069,1,
CB05_ETOH,ETOH,1,45.7327,1,
CB05_FORM,FORM,1,30.026,1,
CB05_IOLE,IOLE,1,55.07433333,1,
CB05_ISOP,ISOP,1,68.117,1,
CB05_MEOH,MEOH,1,32.042,1,
CB05_NVOL,NVOL,1,1.0001,1,
CB05_OLE,OLE,1,30.38553333,1,
CB05_PAR,PAR,1,17.39844286,1,
CB05_TERP,TERP,1,136.2352,1,
CB05_TOL,TOL,1,100.8412833,1,
CB05_UNR,UNR,1,19.4844,1,
CB05_XYL,XYL,1,114.463,1,
PM25,PAL,0.00 ,1,1.36E-04,
PM25,PCA,0.00 ,1,0.000513301,
PM25,PCL,0.00 ,1,0.004004603,
PM25,PEC,0.57 ,1,0.57,
PM25,PFE,0.00 ,1,1.01E-04,
PM25,PH2O,0.00 ,1,4.27E-06,
PM25,PK,0.01 ,1,0.005645755,
PM25,PMG,0.00 ,1,7.31E-05,
PM25,PMN,0.00 ,1,3.72E-06,
PM25,PMOTHR,0.07 ,1,0.072671935,
PM25,PNA,0.00 ,1,0.000832491,
PM25,PNCOM,0.12 ,1,0.118715885,
PM25,PNH4,0.01 ,1,0.008759769,
PM25,PNO3,0.00 ,1,0.001837294,
PM25,POC,0.20 ,1,0.2,
PM25,PSI,0.00 ,1,0.002249929,
PM25,PSO4,0.01 ,1,0.014435884,
PM25,PTI,0.00 ,1,1.54E-05,
SO2,SO2,1,64,1,
SO2,SULF,0.0148,98,0.0148,
NH3,NH3,1,17,1,
CO,CO,1,28,1,
PMC,PMC,1,1,1,
NOx,NO,0.9,30,0.9,
NOx,NO2,0.092,46,0.092,
NOx,HONO,0.008,47,0.008,
