hourly,PP,IN,AG,TR,AR,BL,CE,CO,IS,NH,PT,SI,VO,VP,VU,CPMO,CPMI,AL,YL,GL,BK,HS,LM,RM
0,0.045019909,0.045019909,0.0473,0.054954544,0.036410837,0.045019909,0.045019909,0.045019909,0.045019909,0.045019909,0.045019909,0.045019909,0.045019909,0.045019909,0.045019909,0.045019909,0.045019909,0.045019909,0.045019909,0.045019909,0.045019909,0.045019909,0.045019909,0.045019909
1,0.046758964,0.046758964,0.0576,0.0555406,0.040061447,0.046758964,0.046758964,0.046758964,0.046758964,0.046758964,0.046758964,0.046758964,0.046758964,0.046758964,0.046758964,0.046758964,0.046758964,0.046758964,0.046758964,0.046758964,0.046758964,0.046758964,0.046758964,0.046758964
2,0.045731019,0.045731019,0.07,0.05337665,0.041143406,0.045731019,0.045731019,0.045731019,0.045731019,0.045731019,0.045731019,0.045731019,0.045731019,0.045731019,0.045731019,0.045731019,0.045731019,0.045731019,0.045731019,0.045731019,0.045731019,0.045731019,0.045731019,0.045731019
3,0.045077765,0.045077765,0.0782,0.048431389,0.04263696,0.045077765,0.045077765,0.045077765,0.045077765,0.045077765,0.045077765,0.045077765,0.045077765,0.045077765,0.045077765,0.045077765,0.045077765,0.045077765,0.045077765,0.045077765,0.045077765,0.045077765,0.045077765,0.045077765
4,0.042742193,0.042742193,0.0885,0.04613189,0.044480683,0.042742193,0.042742193,0.042742193,0.042742193,0.042742193,0.042742193,0.042742193,0.042742193,0.042742193,0.042742193,0.042742193,0.042742193,0.042742193,0.042742193,0.042742193,0.042742193,0.042742193,0.042742193,0.042742193
5,0.041291411,0.041291411,0.0823,0.049596258,0.047992208,0.041291411,0.041291411,0.041291411,0.041291411,0.041291411,0.041291411,0.041291411,0.041291411,0.041291411,0.041291411,0.041291411,0.041291411,0.041291411,0.041291411,0.041291411,0.041291411,0.041291411,0.041291411,0.041291411
6,0.040661208,0.040661208,0.0803,0.052526665,0.054079279,0.040661208,0.040661208,0.040661208,0.040661208,0.040661208,0.040661208,0.040661208,0.040661208,0.040661208,0.040661208,0.040661208,0.040661208,0.040661208,0.040661208,0.040661208,0.040661208,0.040661208,0.040661208,0.040661208
7,0.040793354,0.040793354,0.07,0.054393799,0.05304937,0.040793354,0.040793354,0.040793354,0.040793354,0.040793354,0.040793354,0.040793354,0.040793354,0.040793354,0.040793354,0.040793354,0.040793354,0.040793354,0.040793354,0.040793354,0.040793354,0.040793354,0.040793354,0.040793354
8,0.04128075,0.04128075,0.0597,0.054512424,0.043073488,0.04128075,0.04128075,0.04128075,0.04128075,0.04128075,0.04128075,0.04128075,0.04128075,0.04128075,0.04128075,0.04128075,0.04128075,0.04128075,0.04128075,0.04128075,0.04128075,0.04128075,0.04128075,0.04128075
9,0.039792293,0.039792293,0.0453,0.054226106,0.040401297,0.039792293,0.039792293,0.039792293,0.039792293,0.039792293,0.039792293,0.039792293,0.039792293,0.039792293,0.039792293,0.039792293,0.039792293,0.039792293,0.039792293,0.039792293,0.039792293,0.039792293,0.039792293,0.039792293
10,0.042161348,0.042161348,0.0309,0.050825142,0.036905578,0.042161348,0.042161348,0.042161348,0.042161348,0.042161348,0.042161348,0.042161348,0.042161348,0.042161348,0.042161348,0.042161348,0.042161348,0.042161348,0.042161348,0.042161348,0.042161348,0.042161348,0.042161348,0.042161348
11,0.043124742,0.043124742,0.0268,0.046063037,0.037732313,0.043124742,0.043124742,0.043124742,0.043124742,0.043124742,0.043124742,0.043124742,0.043124742,0.043124742,0.043124742,0.043124742,0.043124742,0.043124742,0.043124742,0.043124742,0.043124742,0.043124742,0.043124742,0.043124742
12,0.042917965,0.042917965,0.0226,0.041634474,0.036518093,0.042917965,0.042917965,0.042917965,0.042917965,0.042917965,0.042917965,0.042917965,0.042917965,0.042917965,0.042917965,0.042917965,0.042917965,0.042917965,0.042917965,0.042917965,0.042917965,0.042917965,0.042917965,0.042917965
13,0.040962064,0.040962064,0.0206,0.037382461,0.036143211,0.040962064,0.040962064,0.040962064,0.040962064,0.040962064,0.040962064,0.040962064,0.040962064,0.040962064,0.040962064,0.040962064,0.040962064,0.040962064,0.040962064,0.040962064,0.040962064,0.040962064,0.040962064,0.040962064
