monthly,PP,IN,AG,TR,AR,BL,CE,CO,IS,NH,PT,SI,VO,VP,VU,CPMO,CPMI,AL,YL,GL,BK,HS,LM,RM
1,0.089967689,0.174796317,0.05777966,0.080040503,0.174796317,0.074552711,0.031514541,0.074964503,0.072645961,0.078899774,0.073540794,0.074552711,0.069336676,0.069336676,0.069336676,0.072997174,0.072997174,0.072997174,0.072997174,0.072997174,0.072997174,0.072997174,0.072997174,0.072997174
2,0.065055411,0.115006638,0.056653457,0.062345858,0.115006638,0.074552711,0.031514541,0.074964503,0.072645961,0.078899774,0.073540794,0.074552711,0.069336676,0.069336676,0.069336676,0.061000419,0.061000419,0.061000419,0.061000419,0.061000419,0.061000419,0.061000419,0.061000419,0.061000419
3,0.082521306,0.106483065,0.061858715,0.082187692,0.106483065,0.075943264,0.062791589,0.082478887,0.074897534,0.09118312,0.074271064,0.075943264,0.080630442,0.080630442,0.080630442,0.083785941,0.083785941,0.083785941,0.083785941,0.083785941,0.083785941,0.083785941,0.083785941,0.083785941
4,0.074534075,0.056826539,0.083957102,0.083282104,0.056826539,0.088167492,0.093349805,0.082447051,0.079839274,0.085757347,0.080357884,0.088167492,0.081484114,0.081484114,0.081484114,0.082895339,0.082895339,0.082895339,0.082895339,0.082895339,0.082895339,0.082895339,0.082895339,0.082895339
5,0.075078698,0.050920295,0.098872461,0.084418188,0.050920295,0.087884232,0.104288366,0.083824494,0.086676264,0.089073097,0.085881247,0.087884232,0.081857837,0.081857837,0.081857837,0.085307913,0.085307913,0.085307913,0.085307913,0.085307913,0.085307913,0.085307913,0.085307913,0.085307913
6,0.078480916,0.049271385,0.114213609,0.083553256,0.049271385,0.086413962,0.096509282,0.086687622,0.086830664,0.090580256,0.085547621,0.086413962,0.082428561,0.082428561,0.082428561,0.0887396,0.0887396,0.0887396,0.0887396,0.0887396,0.0887396,0.0887396,0.0887396,0.0887396
7,0.088307918,0.050920295,0.108156799,0.08546459,0.050920295,0.088086142,0.092383678,0.085448136,0.089432079,0.082743029,0.088315975,0.088086142,0.07745911,0.07745911,0.07745911,0.082855806,0.082855806,0.082855806,0.082855806,0.082855806,0.082855806,0.082855806,0.082855806,0.082855806
8,0.095363542,0.050920295,0.118718436,0.087558272,0.050920295,0.088496497,0.094438697,0.087759438,0.090922453,0.085606631,0.088049074,0.088496497,0.08468152,0.08468152,0.08468152,0.084848422,0.084848422,0.084848422,0.084848422,0.084848422,0.084848422,0.084848422,0.084848422,0.084848422
9,0.083764099,0.049271385,0.085357971,0.089598072,0.049271385,0.085717193,0.098439391,0.086084858,0.088024635,0.085003768,0.085037544,0.085717193,0.091207665,0.091207665,0.091207665,0.087386289,0.087386289,0.087386289,0.087386289,0.087386289,0.087386289,0.087386289,0.087386289,0.087386289
10,0.081770997,0.058610508,0.067764418,0.089296614,0.058610508,0.085879216,0.102490445,0.085176468,0.087757065,0.081688018,0.088671843,0.085879216,0.088256511,0.088256511,0.088256511,0.087826373,0.087826373,0.087826373,0.087826373,0.087826373,0.087826373,0.087826373,0.087826373,0.087826373
11,0.087353478,0.095821179,0.07762563,0.085620674,0.095821179,0.080224724,0.102353966,0.086405342,0.08302786,0.078975132,0.08781776,0.080224724,0.096062198,0.096062198,0.096062198,0.091265196,0.091265196,0.091265196,0.091265196,0.091265196,0.091265196,0.091265196,0.091265196,0.091265196
12,0.097801873,0.1411521,0.069041742,0.086634177,0.1411521,0.084081857,0.089925699,0.083758699,0.087300251,0.071590053,0.088968399,0.084081857,0.097258691,0.097258691,0.097258691,0.091091528,0.091091528,0.091091528,0.091091528,0.091091528,0.091091528,0.091091528,0.091091528,0.091091528
